"cited_paper_id","citing_paper_id"
"10.1109/EMCSI39492.2022.9889639","10.1007/978-3-030-81645-2_7"
"10.1109/EMCSI39492.2022.9889639","10.1109/JETCAS.2021.3074608"
"10.1109/iecon43393.2020.9255001","10.1109/JSAC.2019.2904348"
"10.1109/melecon48756.2020.9140602","10.3390/s20092533"
"10.1109/ICOIN53446.2022.9687209","10.1016/j.future.2020.08.037"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","10.1109/JPROC.2019.2921977"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","10.1145/3469029"
"10.3390/s20092533","10.1109/JPROC.2019.2921977"
"10.3390/s20092533","10.1109/MICRO.2014.58"
"10.3390/s20092533","10.1109/TBDATA.2018.2829886"
"10.1109/CogMI50398.2020.00030","10.1007/s13042-018-0834-5"
"10.1109/CogMI50398.2020.00030","10.1145/3378679.3394528"
"10.1109/CogMI50398.2020.00030","10.1109/JIOT.2019.2893866"
"10.1007/s11277-022-10160-y","10.1145/3341145"
"10.1145/3503823.3503843","10.1109/JPROC.2019.2921977"
"10.1007/s42452-023-05498-2","10.1109/JSAC.2019.2904348"
"10.1145/3469029","10.1109/JPROC.2019.2921977"
"10.1145/3469029","10.1145/3229556.3229562"
"10.1145/3469029","10.1109/JPROC.2019.2941458"
"10.1145/3469029","10.1109/TCAD.2016.2587683"
"10.1109/ACCESS.2022.3212077","10.1145/3469029"
"10.1109/MIC.2022.3152478","10.1007/s00521-020-04874-y"
"10.1007/s11432-020-3251-9","10.1145/3229556.3229562"
"10.1007/s11432-020-3251-9","10.1109/TWC.2019.2946245"
"10.3390/s21196594","10.1109/HPCA.2019.00048"
"10.1109/icassp40776.2020.9052927","10.1109/LCOMM.2019.2922658"
"10.3390/app12105178","10.1145/3469029"
"10.3390/app12105178","10.1109/JSAC.2019.2904348"
"10.1109/ACCESS.2020.2978082","10.1109/JSAC.2019.2904348"
"10.1109/COMPSAC57700.2023.00124","10.1145/3469029"
"10.1109/JSAC.2020.3041379","10.1109/JSAC.2019.2904348"
"10.1109/IPDPSW50202.2020.00153","10.1145/2541940.2541967"
"10.1109/IPDPSW50202.2020.00153","10.1145/2996864"
"10.1109/IPDPSW50202.2020.00153","10.1109/ISCA.2016.42"
