Entity,Code,Year,memory,flash,disk_drives,ssd
World,OWID_WRL,1957,411041792000000,,,
World,OWID_WRL,1959,67947725000000,,7600000000,
World,OWID_WRL,1960,5242880000000,,3600000000,
World,OWID_WRL,1965,2642412000000,,,
World,OWID_WRL,1970,734003000000,,259700000,
World,OWID_WRL,1973,399360000000,,,
World,OWID_WRL,1974,314573000000,,185000000,
World,OWID_WRL,1975,49920000000,,,
World,OWID_WRL,1976,23040000000,,,
World,OWID_WRL,1978,15200000000,,,
World,OWID_WRL,1979,6704000000,,,
World,OWID_WRL,1980,6480000000,,,
World,OWID_WRL,1981,4479000000,,,
World,OWID_WRL,1982,1980000000,,,
World,OWID_WRL,1984,1331000000,,,
World,OWID_WRL,1985,300000000,,31390000,
World,OWID_WRL,1986,190000000,,24450000,
World,OWID_WRL,1987,133000000,,14970000,
World,OWID_WRL,1989,113000000,,7480000,
World,OWID_WRL,1990,46000000,,3270000,
World,OWID_WRL,1991,40000000,,2790000,
World,OWID_WRL,1992,26300000,,1400000,
World,OWID_WRL,1996,5250000,,128000,
World,OWID_WRL,1997,2160000,,48400,
World,OWID_WRL,1998,840000,,24800,
World,OWID_WRL,1999,780000,,8800,
World,OWID_WRL,2000,700000,,4070,
World,OWID_WRL,2001,150000,,2590,
World,OWID_WRL,2002,130000,,1220,
World,OWID_WRL,2003,76000,191000,1060,
World,OWID_WRL,2006,73000,14600,219,
World,OWID_WRL,2007,24000,7320,200,
World,OWID_WRL,2008,10000,1830,100,
World,OWID_WRL,2011,5100,1007,36.7,
World,OWID_WRL,2012,3700,580,,
World,OWID_WRL,2016,2700,,27.7,203
World,OWID_WRL,2021,2600,,,
World,OWID_WRL,2022,2100,,14.3,49.5
World,OWID_WRL,2005,,76200,406,
World,OWID_WRL,2009,,1620,70,
World,OWID_WRL,2010,,1190,45,
World,OWID_WRL,2013,,458,,625
World,OWID_WRL,2014,,335,35,375
World,OWID_WRL,2015,,145,28.3,250
World,OWID_WRL,1956,,,9200000000,
World,OWID_WRL,1964,,,3518620000,
World,OWID_WRL,1966,,,1047260000,
World,OWID_WRL,1988,,,9970000,
World,OWID_WRL,1993,,,718000,
World,OWID_WRL,1994,,,433000,
World,OWID_WRL,1995,,,214000,
World,OWID_WRL,2004,,,609,
World,OWID_WRL,2017,,,25,
World,OWID_WRL,2018,,,23.4,104
World,OWID_WRL,2019,,,18.7,79.2
World,OWID_WRL,2020,,,16.2,75
