,paper_id,category,year,keywords,cited_by
1,10.1109/FCCM51124.2021.00037,MLAccelerator,2021,structure information proprietary instruction intellectual applications learning crucial models confidential,2
2,10.1109/CCGrid.2015.114,MLAccelerator,2015,learning applications accelerator services widely machine complex emerging solving ability,9
4,10.1109/DAC56929.2023.10247935,MLAccelerator,2023,systems component complexity increasing critical compute accelerators communication efficient management,0
8,10.1109/TPDS.2020.2990924,MLAccelerator,2020,applications accelerator instruction intensive process accelerators sequencing including collaborative filtering,3
10,10.1145/2541940.2541967,MLAccelerator,2014,systems centers broad domains pervasive convolutional applications proving especially learning,131
12,10.3390/electronics7080130,MLAccelerator,2018,accelerator interconnects computing accelerating networks learning systems specialized architecture interconnected,0
18,10.1109/MDAT.2021.3063366,MLAccelerator,2022,,0
21,10.1109/PMBS56514.2022.00007,MLAccelerator,2022,accelerators applications evaluation present artificial techniques science adopting computing evaluating,0
24,10.1109/MM.2019.2929502,MLAccelerator,2019,acceleration processing superior efficiency diverse,0
26,10.1109/hpec43674.2020.9286149,MLAccelerator,2020,accelerators consumption performance applications recognition detection learning processors survey paper,9
29,10.1103/PhysRevAccelBeams.25.122803,MLAccelerator,2022,technique reconstruction compression conventional beamline tomography learning applied compared distribution,1
31,10.1109/ISCA45697.2020.00035,MLAccelerator,2020,accelerator specific performance deployment limited accelerators applications untenable function changing,2
32,10.1109/ARITH.2019.00021,MLAccelerator,2019,optimizations alignment scalability critical operations accelerators precision activation quantified performance,1
33,10.1109/TVLSI.2018.2873716,MLAccelerator,2019,large learning number results computations operations accelerator structure critical usually,1
34,10.1109/COMPSAC51774.2021.00020,MLAccelerator,2021,accelerators spatial performance utilization resource interference models specialized particular increasing,0
37,10.1109/MM.2020.3025863,MLAccelerator,2020,primitives computing processing accelerators recognition applications especially networks vision complexity,1
39,10.1016/bs.adcom.2020.07.001,MLAccelerator,2021,applications learning artificial algorithms intelligence visualization processing specialized intensive typical,1
41,10.1109/JETCAS.2019.2934929,MLAccelerator,2019,computing instruction acceleration accelerators conversion computation processing learning platforms limited,0
44,10.1109/TC.2020.2995761,MLAccelerator,2021,accelerator applications framework accelerators clustering recognition artificial intelligence learning significant,0
45,10.1111/exsy.12831,MLAccelerator,2022,computing learning accelerators development efficiently applications complexity unstructured structured advanced,0
46,10.1109/MM.2018.2885498,MLAccelerator,2019,,0
47,10.1103/PhysRevAccelBeams.24.104601,MLAccelerator,2021,complex accelerator network regulating reinforcement demonstrate regulation training additionally controls,1
50,10.1103/PhysRevAccelBeams.25.122802,MLAccelerator,2022,operations monitoring method accelerator complex accelerators cutting frequently equipment prognostications,2
