"paper_id","category","year","keywords","cited_by"
"10.1109/AICAS54282.2022.9869942","MLAccelerator",2022,"learning physical performance accelerator potential communication systems computational practical complexity","0"
"10.1109/FCCM51124.2021.00037","MLAccelerator",2021,"structure information proprietary instruction intellectual applications learning crucial models confidential","2"
"10.1109/CCGrid.2015.114","MLAccelerator",2015,"learning applications accelerator services widely machine complex emerging solving ability","9"
"10.1109/ICECCS54210.2022.00031","MLAccelerator",2022,"accelerators learning convolution framework increasingly popular deep multiplication general prevalent","0"
"10.1109/DAC56929.2023.10247935","MLAccelerator",2023,"systems component complexity increasing critical compute accelerators communication efficient management","0"
"10.1109/ISCAS46773.2023.10181908","MLAccelerator",2023,"inferencing models presents leverages learning integrated accelerator demonstrated software processor","0"
"10.1007/978-3-031-16815-4_12","MLAccelerator",2022,"execution applications accelerators application specialized artificial intelligence accelerate processing information","0"
"10.1109/DDECS57882.2023.10139484","MLAccelerator",2023,"approximation consumption functional techniques methods employing function changes resulting","0"
"10.1109/TPDS.2020.2990924","MLAccelerator",2020,"applications accelerator instruction intensive process accelerators sequencing including collaborative filtering","3"
"10.1109/ISQED57927.2023.10129302","MLAccelerator",2023,"learning applications data accelerators operations reduces changing widespread use lives","0"
"10.1145/2541940.2541967","MLAccelerator",2014,"systems centers broad domains pervasive convolutional applications proving especially learning","131"
"10.1109/MM.2019.2935888","MLAccelerator",2019,"","0"
"10.3390/electronics7080130","MLAccelerator",2018,"accelerator interconnects computing accelerating networks learning systems specialized architecture interconnected","0"
"10.1109/IMS37962.2022.9865378","MLAccelerator",2022,"convolutional modulation classification model frequency simulation higher average ratio accuracy","0"
"10.1109/PAST49659.2022.9975097","MLAccelerator",2022,"accelerators efficiently processing abstraction computing development operations multiplication compute learning","0"
"10.1109/IPDPSW52791.2021.00116","MLAccelerator",2021,"learning execution method proposed programs accelerators widespread recent years machine","0"
"10.1109/FCCM57271.2023.00058","MLAccelerator",2023,"solutions design techniques learning highlights computation detection eliminates network object","0"
"10.1007/s11277-017-5211-2","MLAccelerator",2018,"recognition solution system process learning consuming problems difficult utilized accelerate","0"
"10.1109/MDAT.2021.3063366","MLAccelerator",2022,"","0"
"10.1109/iSES50453.2020.00027","MLAccelerator",2020,"techniques learning processes non systems dynamical linear extracted geometry estimated","0"
"10.1145/2701417","MLAccelerator",2015,"learning systems centers broad domains convolutional applications proving especially combination","0"
"10.1109/PMBS56514.2022.00007","MLAccelerator",2022,"accelerators applications evaluation present artificial techniques science adopting computing evaluating","0"
"10.1109/CCTA48906.2021.9658806","MLAccelerator",2021,"subsystems systems importance experiments complex accelerators downtime expensive facility behaviour","0"
"10.1109/FPL53798.2021.00077","MLAccelerator",2021,"accelerators significant applications experiencing learning applied broad computing increasing performance","1"
"10.1109/MM.2019.2929502","MLAccelerator",2019,"acceleration processing superior efficiency diverse","0"
"10.1109/LCA.2017.2714667","MLAccelerator",2018,"multiplication accelerator mining vector data learning specifically integrated accelerate reduction","1"
"10.1109/hpec43674.2020.9286149","MLAccelerator",2020,"accelerators consumption performance applications recognition detection learning processors survey paper","9"
"10.1145/3195970.3195974","MLAccelerator",2018,"accelerators compensation continuous performance efficiency heterogeneous processing applications inherent parallelism","0"
"10.1007/s10812-022-01313-9","MLAccelerator",2022,"accelerators spectra constructed production similar types i.e. characteristics necessary accelerator","0"
"10.1103/PhysRevAccelBeams.25.122803","MLAccelerator",2022,"technique reconstruction compression conventional beamline tomography learning applied compared distribution","1"
"10.1109/BDCAT50828.2020.00025","MLAccelerator",2020,"learning methods explainable computing intensive increasingly emergence technologies complex nature","0"
"10.1109/ISCA45697.2020.00035","MLAccelerator",2020,"accelerator specific performance deployment limited accelerators applications untenable function changing","2"
"10.1109/ARITH.2019.00021","MLAccelerator",2019,"optimizations alignment scalability critical operations accelerators precision activation quantified performance","1"
"10.1109/TVLSI.2018.2873716","MLAccelerator",2019,"large learning number results computations operations accelerator structure critical usually","1"
"10.1109/COMPSAC51774.2021.00020","MLAccelerator",2021,"accelerators spatial performance utilization resource interference models specialized particular increasing","0"
"10.1109/DAC56929.2023.10247768","MLAccelerator",2023,"accelerators isolation proliferating processing learning future underlying acceleration concern service","0"
"10.1109/LSSC.2020.3023703","MLAccelerator",2020,"precision multiplication demonstrated vector digital computation complex processing enabling compute","0"
"10.1109/MM.2020.3025863","MLAccelerator",2020,"primitives computing processing accelerators recognition applications especially networks vision complexity","1"
"10.1109/TC.2020.2997574","MLAccelerator",2020,"","0"
"10.1016/bs.adcom.2020.07.001","MLAccelerator",2021,"applications learning artificial algorithms intelligence visualization processing specialized intensive typical","1"
"10.1145/3531479","MLAccelerator",2022,"applications recognition processing intelligent devices wearable conventional complex insufficient performance","0"
"10.1109/JETCAS.2019.2934929","MLAccelerator",2019,"computing instruction acceleration accelerators conversion computation processing learning platforms limited","0"
"10.1109/ISOCC56007.2022.10031506","MLAccelerator",2022,"accelerators presents classify hardware attacks processing different demonstrated performance observation","0"
"10.1016/j.ijrobp.2019.06.920","MLAccelerator",2019,"","0"
"10.1109/TC.2020.2995761","MLAccelerator",2021,"accelerator applications framework accelerators clustering recognition artificial intelligence learning significant","0"
"10.1111/exsy.12831","MLAccelerator",2022,"computing learning accelerators development efficiently applications complexity unstructured structured advanced","0"
"10.1109/MM.2018.2885498","MLAccelerator",2019,"","0"
"10.1103/PhysRevAccelBeams.24.104601","MLAccelerator",2021,"complex accelerator network regulating reinforcement demonstrate regulation training additionally controls","1"
"10.1088/1748-0221/17/02/C02022","MLAccelerator",2022,"accelerator document provides overview session","0"
"10.1109/syscon47679.2020.9275895","MLAccelerator",2020,"accelerators hardware results processing learning compensating suitable computational dedicated tendency","0"
"10.1103/PhysRevAccelBeams.25.122802","MLAccelerator",2022,"operations monitoring method accelerator complex accelerators cutting frequently equipment prognostications","2"
"10.1016/j.vlsi.2018.11.010","MLAccelerator",2019,"accelerators precision developments provides convolutional computational comprehensive introduction networks considerations","1"
"10.1109/mwscas48704.2020.9184587","MLAccelerator",2020,"efficiency computation accelerator computing accelerators emerging learning resulting approaches extensive","0"
"10.1109/MDAT.2022.3161126","MLAccelerator",2022,"","0"
"10.1109/TC.2020.2988209","MLAccelerator",2020,"recommendation accelerator different accelerators learning hardware applications applied filtering based","0"
"10.1103/PhysRevAccelBeams.24.114601","MLAccelerator",2021,"predictions accelerators reliable computational complex increasingly improved uncertainties models confident","2"
"10.1016/j.engappai.2020.103637","MLAccelerator",2020,"conditions performance learning generalization sensitivity efficiency limitations technology accelerator constructs","0"
"10.1109/ISVLSI54635.2022.00060","MLAccelerator",2022,"","0"
"10.1109/MICRO56248.2022.00084","MLAccelerator",2022,"differentially protecting collection deployment contributed learning differential practical protection standard","0"
"10.1109/ISPASS51385.2021.00047","MLAccelerator",2021,"accelerators performance acceleration processing executing operations heterogeneous learning computations resources","0"
"10.1145/3229631.3236093","MLAccelerator",2018,"applications complexity increasing accelerators computing processing systems consuming computational intensive","0"
"10.1109/MDAT.2021.3063340","MLAccelerator",2022,"y","0"
"10.1109/HPEC49654.2021.9622867","MLAccelerator",2021,"accelerators performance recognition applications detection learning processors survey past updates","5"
"10.1016/j.mejo.2017.01.007","MLAccelerator",2017,"required intelligence energy learning operating computing efficiency wireless communication implement","1"
"10.1109/EECS.2017.26","MLAccelerator",2017,"complex consolidation accelerators experiments maintain required objectively strategies prioritization implement","0"
"10.1109/TCAD.2016.2587683","MLAccelerator",2017,"accelerator complex emerging learning solving ability significant implementations practical construct","31"
"10.3390/electronics10111323","MLAccelerator",2021,"classification learning optimization applications techniques processing different systems autonomous cornerstones","0"
"10.1109/JSSC.2013.2253226","MLAccelerator",2013,"specific functions customization sensing indicative technologies physiologically acquiring ability requirement","11"
