"paper_id","class_label"
"10.1109/AICAS54282.2022.9869942","MLAccelerator"
"10.1109/FCCM51124.2021.00037","MLAccelerator"
"10.1109/CCGrid.2015.114","MLAccelerator"
"10.1109/ICECCS54210.2022.00031","MLAccelerator"
"10.1109/DAC56929.2023.10247935","MLAccelerator"
"10.1109/ISCAS46773.2023.10181908","MLAccelerator"
"10.1007/978-3-031-16815-4_12","MLAccelerator"
"10.1109/DDECS57882.2023.10139484","MLAccelerator"
"10.1109/TPDS.2020.2990924","MLAccelerator"
"10.1109/ISQED57927.2023.10129302","MLAccelerator"
"10.1145/2541940.2541967","MLAccelerator"
"10.1109/MM.2019.2935888","MLAccelerator"
"10.3390/electronics7080130","MLAccelerator"
"10.1109/IMS37962.2022.9865378","MLAccelerator"
"10.1109/PAST49659.2022.9975097","MLAccelerator"
"10.1109/IPDPSW52791.2021.00116","MLAccelerator"
"10.1109/FCCM57271.2023.00058","MLAccelerator"
"10.1007/s11277-017-5211-2","MLAccelerator"
"10.1109/MDAT.2021.3063366","MLAccelerator"
"10.1109/iSES50453.2020.00027","MLAccelerator"
"10.1145/2701417","MLAccelerator"
"10.1109/PMBS56514.2022.00007","MLAccelerator"
"10.1109/CCTA48906.2021.9658806","MLAccelerator"
"10.1109/FPL53798.2021.00077","MLAccelerator"
"10.1109/MM.2019.2929502","MLAccelerator"
"10.1109/LCA.2017.2714667","MLAccelerator"
"10.1109/hpec43674.2020.9286149","MLAccelerator"
"10.1145/3195970.3195974","MLAccelerator"
"10.1007/s10812-022-01313-9","MLAccelerator"
"10.1103/PhysRevAccelBeams.25.122803","MLAccelerator"
"10.1109/BDCAT50828.2020.00025","MLAccelerator"
"10.1109/ISCA45697.2020.00035","MLAccelerator"
"10.1109/ARITH.2019.00021","MLAccelerator"
"10.1109/TVLSI.2018.2873716","MLAccelerator"
"10.1109/COMPSAC51774.2021.00020","MLAccelerator"
"10.1109/DAC56929.2023.10247768","MLAccelerator"
"10.1109/LSSC.2020.3023703","MLAccelerator"
"10.1109/MM.2020.3025863","MLAccelerator"
"10.1109/TC.2020.2997574","MLAccelerator"
"10.1016/bs.adcom.2020.07.001","MLAccelerator"
"10.1145/3531479","MLAccelerator"
"10.1109/JETCAS.2019.2934929","MLAccelerator"
"10.1109/ISOCC56007.2022.10031506","MLAccelerator"
"10.1016/j.ijrobp.2019.06.920","MLAccelerator"
"10.1109/TC.2020.2995761","MLAccelerator"
"10.1111/exsy.12831","MLAccelerator"
"10.1109/MM.2018.2885498","MLAccelerator"
"10.1103/PhysRevAccelBeams.24.104601","MLAccelerator"
"10.1088/1748-0221/17/02/C02022","MLAccelerator"
"10.1109/syscon47679.2020.9275895","MLAccelerator"
