,paper_id,keyword
0,10.3389/fninf.2023.1238168,analog neuromorphic devices
1,10.3389/fninf.2023.1238168,electric neuromorphic computing
2,10.3389/fninf.2023.1238168,material
3,10.3389/fninf.2023.1238168,neuromorphic computing
4,10.3389/fninf.2023.1238168,quantum neuromorphic computing
5,10.3389/fninf.2023.1238168,IoT and edge
6,10.3389/fninf.2023.1238168,computing
7,10.1109/ISOCC56007.2022.10031458,Artificial
8,10.1109/ISOCC56007.2022.10031458,Synaptic device
9,10.1109/ISOCC56007.2022.10031458,Neuromorphic computing
10,10.1109/ISOCC56007.2022.10031458,Hardware
11,10.1109/ISOCC56007.2022.10031458,implementation
12,10.1109/SUM57928.2023.10224393,implementation
13,10.1016/j.vlsi.2017.11.001,Neuromorphic computing
14,10.1016/j.vlsi.2017.11.001,Brain-inspired computing
15,10.1016/j.vlsi.2017.11.001,Machine learning
16,10.1016/j.vlsi.2017.11.001,Deep
17,10.1016/j.vlsi.2017.11.001,learning
18,10.1016/j.vlsi.2017.11.001,ID DEEP NEURAL-NETWORKS
19,10.1016/j.vlsi.2017.11.001,PATTERN-RECOGNITION
20,10.1016/j.vlsi.2017.11.001,SYNAPTIC PLASTICITY
21,10.1016/j.vlsi.2017.11.001,MODEL;
22,10.1016/j.vlsi.2017.11.001,BACKPROPAGATION
23,10.1016/j.vlsi.2017.11.001,DESIGN
24,10.1016/j.vlsi.2017.11.001,REPRESENTATION
25,10.1016/j.vlsi.2017.11.001,NEOCOGNITRON
26,10.1016/j.vlsi.2017.11.001,COPROCESSOR;
27,10.1016/j.vlsi.2017.11.001,COMPLEX
28,"['10.1002/adfm.202303879', 'EA AUG 2023']",convolutional neural networks
29,"['10.1002/adfm.202303879', 'EA AUG 2023']",multispectrum sensitivity
30,"['10.1002/adfm.202303879', 'EA AUG 2023']",neuromorphic
31,"['10.1002/adfm.202303879', 'EA AUG 2023']",computing
32,"['10.1002/adfm.202303879', 'EA AUG 2023']",optoelectronic synapses
33,"['10.1002/adfm.202303879', 'EA AUG 2023']",resistive switching
34,"['10.1002/adfm.202303879', 'EA AUG 2023']",ID RESISTIVE SWITCHING MEMORY
35,"['10.1002/adfm.202303879', 'EA AUG 2023']",ZNO
36,"['10.1002/adfm.202303879', 'EA AUG 2023']",NETWORK
37,"['10.1002/adfm.202303879', 'EA AUG 2023']",PHOTODETECTOR
38,"['10.1002/adfm.202303879', 'EA AUG 2023']",PERFORMANCE;
39,"['10.1002/adfm.202303879', 'EA AUG 2023']",SENSOR
40,10.1109/IRPS48203.2023.10118164,RRAM-based chip
41,10.1109/IRPS48203.2023.10118164,thermal
42,10.1109/IRPS48203.2023.10118164,reliability
43,10.1109/IRPS48203.2023.10118164,retention
44,10.1109/IRPS48203.2023.10118164,neuromorphic
45,10.1109/IRPS48203.2023.10118164,computing.
46,10.3389/fncom.2021.755405,memristors
47,10.3389/fncom.2021.755405,neuromorphic
48,10.3389/fncom.2021.755405,in-memory computing
49,10.3389/fncom.2021.755405,neural networks
50,10.3389/fncom.2021.755405,beyond
51,10.3389/fncom.2021.755405,von Neumann architecture
52,10.7498/aps.71.20220111,optoelectronic neuromorphic devices
53,10.7498/aps.71.20220111,optoelectronic synapse;
54,10.7498/aps.71.20220111,optoelectronic neuron
55,10.7498/aps.71.20220111,neuromorphic computing
56,10.7498/aps.71.20220111,ID LONG-TERM POTENTIATION
57,10.7498/aps.71.20220111,SYNAPTIC PLASTICITY
58,10.7498/aps.71.20220111,NEURAL-NETWORK
59,10.7498/aps.71.20220111,MEMORY;
60,10.7498/aps.71.20220111,DEPENDENCE
61,10.7498/aps.71.20220111,SYNAPSES
62,10.7498/aps.71.20220111,CIRCUIT
63,10.7498/aps.71.20220111,NEURONS
64,10.7498/aps.71.20220111,BRAIN
65,10.7498/aps.71.20220111,MODEL
66,10.1002/pssr.201900082,artificial synapses
67,10.1002/pssr.201900082,neuromorphic computing
68,10.1002/pssr.201900082,photoelectric synapses;
69,10.1002/pssr.201900082,photonic synapses
70,10.1002/pssr.201900082,ID LONG-TERM POTENTIATION
71,10.1002/pssr.201900082,SYNAPTIC DEVICES
72,10.1002/pssr.201900082,RECENT PROGRESS
73,10.1002/pssr.201900082,MEMORY;
74,10.1002/pssr.201900082,PLASTICITY
75,10.1002/pssr.201900082,IMPLEMENTATION
76,10.1002/pssr.201900082,TRANSISTORS
77,10.1002/pssr.201900082,NETWORKS
78,10.1002/pssr.201900082,STORAGE
79,10.1002/pssr.201900082,MODEL
80,"['10.1021/acsami.3c00254', 'EA MAR 2023']",ultralow power
81,"['10.1021/acsami.3c00254', 'EA MAR 2023']",2D tellurene
82,"['10.1021/acsami.3c00254', 'EA MAR 2023']",environmentally stable
83,"['10.1021/acsami.3c00254', 'EA MAR 2023']",synaptic
84,"['10.1021/acsami.3c00254', 'EA MAR 2023']",transistors
85,"['10.1021/acsami.3c00254', 'EA MAR 2023']",neuromorphic edge computing
86,"['10.1021/acsami.3c00254', 'EA MAR 2023']",intensively
87,"['10.1021/acsami.3c00254', 'EA MAR 2023']",ID FIELD-EFFECT TRANSISTORS
88,"['10.1021/acsami.3c00254', 'EA MAR 2023']",DEVICE
89,10.1088/2632-959X/ac280e,neuromorphic computing
90,10.1088/2632-959X/ac280e,three-dimensional circuits
91,10.1088/2632-959X/ac280e,emerging devices
92,10.1088/2632-959X/ac280e,ID INTEGRATION
93,10.1088/2632-959X/ac280e,STORAGE
94,10.1088/2632-959X/ac280e,DESIGN
95,10.1109/MDAT.2021.3102013,Computer architecture
96,10.1109/MDAT.2021.3102013,Memristors
97,10.1109/MDAT.2021.3102013,Machine learning
98,10.1109/MDAT.2021.3102013,Computational
99,10.1109/MDAT.2021.3102013,modeling
100,10.1109/MDAT.2021.3102013,Security
101,10.1109/MDAT.2021.3102013,Neuromorphic engineering
102,10.1109/MDAT.2021.3102013,Memory management;
103,10.1109/MDAT.2021.3102013,neuromorphic computing
104,10.1109/MDAT.2021.3102013,neural networks
105,10.1109/MDAT.2021.3102013,mixed analog
106,10.1109/MDAT.2021.3102013,digital
107,10.1109/MDAT.2021.3102013,hardware
108,10.1109/MDAT.2021.3102013,security
109,10.1109/MDAT.2021.3102013,simulators
110,10.1109/MDAT.2021.3102013,ID MODEL
111,10.1109/TNANO.2016.2525039,Beyond CMOS
112,10.1109/TNANO.2016.2525039,brain-inspired computing
113,10.1109/TNANO.2016.2525039,graphene
114,10.1109/TNANO.2016.2525039,neuromorphic computing;
115,10.1109/TNANO.2016.2525039,voltage-controlled resistor
116,10.1109/TNANO.2016.2525039,ID CELLULAR NEURAL-NETWORKS
117,10.1109/TNANO.2016.2525039,MEMORY
118,10.1109/TNANO.2016.2525039,DEVICE
119,10.1109/TNANO.2016.2525039,NEURONS
120,10.1109/TNANO.2016.2525039,DESIGN
121,10.1109/TNANO.2016.2525039,CHIP
122,10.7498/aps.71.20220974,neuromorphic computing
123,10.7498/aps.71.20220974,3D-NAND
124,10.7498/aps.71.20220974,in-memory computing architecture
125,10.7498/aps.71.20220974,ID NAND FLASH
126,10.7498/aps.71.20220974,ARCHITECTURE
127,10.3389/fnins.2023.1197918,brain-inspired computational primitives
128,10.3389/fnins.2023.1197918,neuromorphic engineering;
129,10.3389/fnins.2023.1197918,neuromorphic IoT applications
130,10.3389/fnins.2023.1197918,neuromorphic tools
131,10.3389/fnins.2023.1197918,sensory fusion;
132,10.3389/fnins.2023.1197918,neuromorphic computing
133,10.3389/fnins.2023.1197918,neuromorphic framework
134,10.3389/fnano.2022.886586,neuromorphic computing
135,10.3389/fnano.2022.886586,non-volatile memory
136,10.3389/fnano.2022.886586,RRAM
137,10.3389/fnano.2022.886586,ferroelectrics;
138,10.3389/fnano.2022.886586,two-dimensional materials
139,10.1002/aisy.202000119,all-optical neuromorphic devices
140,10.1002/aisy.202000119,device structures
141,10.1002/aisy.202000119,optoelectronic
142,10.1002/aisy.202000119,devices
143,10.1002/aisy.202000119,synapses
144,10.1002/aisy.202000119,ID NANOCAVITY
145,10.1002/aisy.202000119,MEMORY
146,10.1002/aisy.202000119,MEMRISTOR
147,10.1002/aisy.202000119,SYNAPSES
148,10.1002/aisy.202000119,RAM
149,10.1109/EDTM53872.2022.9798290,TiOx
150,10.1109/EDTM53872.2022.9798290,Dynamic optoelectronic memristor
151,10.1109/EDTM53872.2022.9798290,Neuromorphic computing;
152,10.1109/EDTM53872.2022.9798290,In-sensor computing
153,10.1016/j.compeleceng.2017.061023,Cloud robotics
154,10.1016/j.compeleceng.2017.061023,Neuromorphic computing
155,10.1016/j.compeleceng.2017.061023,Cognitive computing
156,10.1016/j.compeleceng.2017.061023,Vertical
157,10.1016/j.compeleceng.2017.061023,RRAM structure
158,10.1016/j.compeleceng.2017.061023,Memristor
159,10.1016/j.compeleceng.2017.061023,Monolithic 3D-IC
160,10.1016/j.compeleceng.2017.061023,ID DESIGN
161,10.1016/j.compeleceng.2017.061023,MODEL
162,10.1016/j.compeleceng.2017.061023,SILICON
163,10.3390/nano13192720,neuromorphic computing
164,10.3390/nano13192720,2D materials
165,10.3390/nano13192720,memristor
166,10.3390/nano13192720,memtransistor
167,10.3390/nano13192720,ID MOS2 ATOMIC LAYERS
168,10.3390/nano13192720,GRAIN-BOUNDARIES
169,10.3390/nano13192720,GRAPHENE FILMS
170,10.3390/nano13192720,TRANSISTORS;
171,10.3390/nano13192720,NANOSHEETS
172,10.3390/nano13192720,MONOLAYER
173,10.3390/nano13192720,SAPPHIRE
174,10.3390/nano13192720,NETWORKS
175,10.3390/nano13192720,GROWTH
176,10.3390/nano13192720,1T
177,10.1145/3194554.3216321,Machine learning
178,10.1145/3194554.3216321,low power Neuromorphic Computing
179,10.1145/3194554.3216321,Neuromorphic
180,10.1145/3194554.3216321,hardware acceleration
181,10.1145/3194554.3216321,Neuromorphic hardware security
182,10.1016/j.bica.2016.07.007,hardware acceleration
183,10.1016/j.bica.2016.07.007,Neuromorphic hardware security
184,10.1145/2954679.2872417,Performance
185,10.1145/2954679.2872417,Design
186,10.1145/2954679.2872417,neuromorphic computing
