"paper_id","category","year","keywords","cited_by"
"10.1109/EMCSI39492.2022.9889639","EdgeML",2022,"learning development represents direction research computational capabilities resulting increasing sophisticated","0"
"10.1145/3318265.3318288","EdgeML",2019,"services learning computing resources performance consumption features servers present large","0"
"10.1109/LCOMM.2020.2996605","EdgeML",2020,"important learning data communication importance allocation computing integrates networks network","1"
"10.1109/iecon43393.2020.9255001","EdgeML",2020,"learning computing centralized industrial environment different federated problem applications classification","0"
"10.1109/JSEN.2019.2936117","EdgeML",2020,"learning detection algorithm performance application current research classification applied combination","0"
"10.1109/BigMM.2019.00015","EdgeML",2019,"applications computing covering monitoring utilizing detection processing support distance existing","0"
"10.1109/CANDARW.2019.00085","EdgeML",2019,"system learning partitioned processing machine methods vertically computing use terminals","2"
"10.1109/melecon48756.2020.9140602","EdgeML",2020,"wearable learning characteristics activities recognizable postural human presence differences different","0"
"10.1109/HPCA.2019.00048","EdgeML",2019,"inference experience learning understanding capabilities translations aspects infrastructure working currently","13"
"10.1145/3299874.3322802","EdgeML",2019,"learning applications network past years methods half spectrum applied problems","0"
"10.1109/MIM.2012.6174579","EdgeML",2012,"","0"
"10.1109/ICOIN53446.2022.9687209","EdgeML",2022,"computing learning applications environment serverless effectiveness stateless solution complexity management","0"
"10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927824","EdgeML",2022,"learning different approach generated connected solutions decentralized devices complex management","1"
"10.3390/s20092533","EdgeML",2020,"learning connected implement network devices industries cities populated vehicles environment","21"
"10.1109/IPDPSW52791.2021.00126","EdgeML",2021,"learning constraints computing limitations methodology design particular computational approaches considered","0"
"10.1016/j.neucom.2015.08.121","EdgeML",2016,"detection sensing automata methods spectral traditional computing based evolution cellular","0"
"10.1109/CogMI50398.2020.00030","EdgeML",2020,"systems intelligence provision vision emerging integrating practical context challenges environments","2"
"10.1109/MASSW.2019.00009","EdgeML",2019,"methods computing regulations compliance minimal sharing processing environment locally learning","1"
"10.1007/s11277-022-10160-y","EdgeML",2023,"applications computing learning recent requirements traditional technologies context sensitive increase","0"
"10.1145/3363347.3363364","EdgeML",2019,"application developers marketplaces computing applications technologies leverage combining operational environment","0"
"10.3390/pr9010092","EdgeML",2021,"manufacturing computing systems technology computational production digitalization developing practical operational","0"
"10.1109/BlackSeaCom52164.2021.9527885","EdgeML",2021,"primitive computing systems technology artificial wireless transactions outsourcing security need","0"
"10.1109/cac48633.2019.8996649","EdgeML",2019,"detection traditional extraction industrial automation production sensitivity extreme improved characteristics","0"
"10.3390/jmmp7030100","EdgeML",2023,"cutting edge residual component distortion tribological indicators influences changes machining","0"
"10.1016/j.jnca.2021.103005","EdgeML",2021,"content caching dynamic preferences networks social network learning application computing","2"
"10.1109/SEC.2018.00047","EdgeML",2018,"learning capability computing performance devices platform approaches dramatically largely improved","1"
"10.1145/3503823.3503843","EdgeML",2021,"compute frameworks configuration execution inference innovative engineering performance offering computing","0"
"10.1007/s42452-023-05498-2","EdgeML",2023,"training learning performance servers assignment solution locally distributed gathering aggregation","0"
"10.1145/3469029","EdgeML",2021,"systems devices computing constrained actuators ubiquitous sensors generation appealing quantities","12"
"10.1109/ACCESS.2022.3212077","EdgeML",2022,"learning interactive recognition personalized tool users actively research devices","0"
"10.1109/MIC.2022.3152478","EdgeML",2022,"processing resources algorithms learning systems devices understanding dynamically operators represented","0"
"10.1109/ACCESS.2019.2954897","EdgeML",2019,"computing environments convergence heterogeneous parameters learning training continue resulting systems","0"
"10.1007/s11432-020-3251-9","EdgeML",2022,"communication networks intelligent federated learning creating development generated processed specifically","0"
"10.1117/12.2587107","EdgeML",2021,"learning solution paper present feature customers creation demonstrated solutions network","0"
"10.1007/978-3-031-23618-1_38","EdgeML",2023,"learning framework efficient rotating computing intelligently processed paradigm source advancements","0"
"10.1109/ccece47787.2020.9255800","EdgeML",2020,"sensitive applications scheduling mechanism requirements approach learning classify simulated application","0"
"10.1109/WHISPERS52202.2021.9484007","EdgeML",2021,"hyperspectral detection fusion sensing mapping systems sensors complex environment management","0"
"10.1002/cpe.6764","EdgeML",2023,"learning enhanced implementation system standard analysis processing accessible locally security","0"
"10.4018/IJMCMC.293749","EdgeML",2022,"prediction computing nodes results development certain intelligence artificial centralized traditional","0"
"10.3390/s21196594","EdgeML",2021,"inference learning network solution provisions computing advancement critical making quality","0"
"10.1109/icassp40776.2020.9052927","EdgeML",2020,"computation learning devices allocation computing communication particular stochastic environment","0"
"10.1107/S2053273315092438","EdgeML",2015,"","0"
"10.3390/app12105178","EdgeML",2022,"computing detection network machines data manufacturing providing monitoring solution adaptive","1"
"10.1109/sustech47890.2020.9150502","EdgeML",2020,"community specific communities learning propose enable combination technologies technology transaction","0"
"10.1109/ACCESS.2020.2978082","EdgeML",2020,"network learning processing transmission traditional response data architecture require emerges","4"
"10.1109/MSPEC.2020.8946299","EdgeML",2020,"specifically universities microprocessors farthest network","0"
"10.1109/COMPSAC57700.2023.00124","EdgeML",2023,"personal information training proposed collected learning server including important performance","0"
"10.1109/JSAC.2020.3041379","EdgeML",2021,"computations learning multiple partitions devices current result transmit transmission retransmitted","0"
"10.1109/IPDPSW50202.2020.00153","EdgeML",2020,"learning efficient applications provides connected leveraging collected computationally intensive models","2"
"10.3390/s22072665","EdgeML",2022,"techniques generated intelligence learning execution disruptive hindrances potential heterogeneous typical","0"
"10.3390/app11167461","EdgeML",2021,"monitoring learning skewness require generally techniques datasets function properly systems","0"
"10.1002/itl2.356","EdgeML",2022,"processing computing detection transmission distribution restriction complex resources implement result","0"
"10.1007/978-3-030-98355-0_33","EdgeML",2022,"bitrate computing improving increasing networks utilizing adaptive understanding network metrics","0"
"10.1109/MCE.2020.2986812","EdgeML",2020,"computing learning processing system combination emerging services healthcare constrained functions","0"
"10.1109/INFOTEH53737.2022.9751311","EdgeML",2022,"prevention learning prediction platforms evaluated computing mainly research implementation motivation","0"
"10.1109/GLOBECOM42002.2020.9322592","EdgeML",2020,"federated distributing solution networks potential training communication consideration addresses important","0"
"10.1109/TSC.2021.3117927","EdgeML",2022,"machines instances response approach usually users learning devices servers remotely","1"
"10.1109/AIPR57179.2022.10092212","EdgeML",2022,"learning technique experimental federated devices servers multiple locally model ensures","0"
"10.1007/s10015-021-00683-1","EdgeML",2021,"system partitioned methods vertically computing learning data expanding systems support","0"
"10.1117/12.2306095","EdgeML",2018,"computing applications increasingly networking resources executing dynamically component enabling techniques","0"
"10.3390/ai4030039","EdgeML",2023,"environment computing constraints existing requirements optimization preservation solutions performance applications","0"
"10.1109/ICHI54592.2022.00048","EdgeML",2022,"technique significant system computation comparable countries cardiovascular number diseases diagnostic","0"
"10.1109/ICEIC54506.2022.9748710","EdgeML",2022,"system predictive implemented apparatus design interface controller elements incorporates implementation","0"
"10.1109/VTC2021-FALL52928.2021.9625307","EdgeML",2021,"management transceivers network learning tracking proposed component g communications millimeter","0"
"10.1117/12.2522656","EdgeML",2019,"inferencing constrained application dependable resource computational processing consumption sophisticated intermediate","0"
"10.1109/ACCESS.2022.3207200","EdgeML",2022,"architecture deployments presents applications enabling autonomous system learning efficient traditional","1"
"10.3390/s23052649","EdgeML",2023,"detection electrical digitization monitoring technologies advanced enable vibration commonly locations","0"
"10.1109/INFOCOMWKSHPS54753.2022.9798359","EdgeML",2022,"development different systems structure requiring specific inference increasing significantly consequently","0"
"10.1186/s13677-022-00377-4","EdgeML",2022,"architecture collaborative traditional federated computing processing centralized increasing proposed infrastructure","0"
"10.1016/j.jmapro.2022.08.006","EdgeML",2022,"trimming considering configurations experimental delamination components potential nature combining kinematics","0"
"10.5220/0011107000003200","EdgeML",2022,"adaptive systems controllers controller management techniques models respective actions system","0"
"10.1016/j.jpdc.2018.03.006","EdgeML",2018,"processing classification effectively capabilities increasing applications significant associated introducing computational","5"
"10.32604/cmes.2022.021394","EdgeML",2023,"computing resource application allocation strategies learning computation intensive concept performance","0"
